Name,Address,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Kedai Makan,"1802 Bellevue Ave, Seattle, WA 98122","['Closed', '']","['Closed', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['Closed', '']"
Sawyer,"5309 22nd Ave NW, Seattle, WA 98107","['Closed', '']","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['10:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']"
How To Cook a Wolf,"2208 Queen Anne Ave N, Seattle, WA 98109","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Taylor Shellfish Oyster Bar,"410 Occidental Ave S, Seattle, WA 98104","['3:00 PM - 8:00 PM', '']","['3:00 PM - 8:00 PM', '']","['3:00 PM - 8:00 PM', '']","['3:00 PM - 8:00 PM', '']","['3:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 8:00 PM', '']"
re:public,"429 Westlake Ave N, Seattle, WA 98109","['Closed', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['Closed', '']"
Pasta Casalinga,"93 Pike St, Ste 201, Seattle, WA 98101","['Closed', '']","['Closed', '']","['Closed', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']","['11:00 AM - 5:00 PM', '']"
Fogón Cocina Mexicana,"600 E Pine St, Seattle, WA 98122","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 11:00 PM', '']"
Reckless Noodle House,"2519 S Jackson St, Seattle, WA 98144","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 9:00 PM', '']"
Zig Zag Cafe,"1501 Western Ave, Ste 202, Seattle, WA 98101","['Closed', '']","['5:00 PM - 12:00 AM (Next day)', '']","['5:00 PM - 12:00 AM (Next day)', '']","['5:00 PM - 12:00 AM (Next day)', '']","['5:00 PM - 12:00 AM (Next day)', '']","['5:00 PM - 12:00 AM (Next day)', '']","['Closed', '']"
Some Random Bar,"2604 1st Ave, Seattle, WA 98121","['4:00 PM - 11:00 PM', '']","['4:00 PM - 11:00 PM', '']","['4:00 PM - 11:00 PM', '']","['4:00 PM - 11:00 PM', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['10:00 AM - 4:00 PM', '']"
n/a,n/a,"('n/a',)","('n/a',)","('n/a',)","('n/a',)","('n/a',)","('n/a',)",n/a
Duke's Seafood,"1111 Fairview Ave N, Seattle, WA 98109","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Pomodoro,"2366 Eastlake Ave E, Seattle, WA 98102","['Closed', '']","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 9:00 PM', '']"
LOCAL Public Eatery,"404 Terry Ave N, Seattle, WA 98109","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['10:00 AM - 11:00 PM', '']","['10:00 AM - 11:00 PM', '']"
G.H. Pasta Co.,"2305 6th Ave, Seattle, WA 98121","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']"
Skillet Capitol Hill,"1400 E Union St, Seattle, WA 98122","['7:00 AM - 7:00 PM', '']","['7:00 AM - 7:00 PM', '']","['7:00 AM - 7:00 PM', '']","['7:00 AM - 7:00 PM', '']","['7:00 AM - 7:00 PM', '']","['7:00 AM - 7:00 PM', '']","['7:00 AM - 7:00 PM', '']"
Meet Korean BBQ,"500 E Pike St, Seattle, WA 98122","['Closed', '']","['Closed', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']"
Skalka,"77 Spring St, Seattle, WA 98104","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']"
COMMUNION Restaurant and Bar,"2350 E Union St, Seattle, WA 98122","['Closed', '']","['Closed', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['Closed', '']"
Paseo,"4225 Fremont Ave N, Seattle, WA 98103","['10:00 AM - 6:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 2:00 PM', '']"
Von's 1000 Spirits,"1225 1st Ave, Seattle, WA 98101","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 1:00 AM (Next day)', '']","['11:00 AM - 1:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']"
Bar Harbor,"400 Fairview Ave N, Ste 105, Seattle, WA 98109","['Closed', '']","['12:00 PM - 8:00 PM', '']","['12:00 PM - 8:00 PM', '']","['12:00 PM - 8:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['Closed', '']"
Olmstead,"314 Broadway E, Seattle, WA 98102","['Closed', '']","['Closed', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 11:00 PM', '']","['10:00 AM - 11:00 PM', '']","['10:00 AM - 9:00 PM', '']"
Tanoor,"803 Dexter Ave N, Seattle, WA 98109","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
84 Yesler,"84 Yesler Way, Seattle, WA 98104","['Closed', '']","['Closed', '']","['4:00 PM - 8:00 PM', '']","['4:00 PM - 8:00 PM', '']","['4:00 PM - 8:00 PM', '']","['4:00 PM - 8:00 PM', '']","['Closed', '']"
The Butcher's Table,"2121 Westlake Ave, Seattle, WA 98121","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['Closed', '']"
Marination Ma Kai,"1660 Harbor Ave SW, Seattle, WA 98126","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['9:00 AM - 8:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 8:00 PM', '']"
Musang Seattle,"2524 Beacon Ave S, Seattle, WA 98144","['Closed', '']","['Closed', '']","['11:00 AM - 2:30 PM, 4:00 PM - 10:00 PM', '']","['11:00 AM - 2:30 PM, 4:00 PM - 10:00 PM', '']","['11:00 AM - 2:30 PM, 4:00 PM - 10:00 PM', '']","['11:00 AM - 2:30 PM, 4:00 PM - 10:00 PM', '']","['11:00 AM - 2:30 PM', '']"
Canlis,"2576 Aurora Ave N, Seattle, WA 98109","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']"
Hanok,"4021 E Madison St, Seattle, WA 98112","['5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['12:00 PM - 3:00 PM, 5:00 PM - 9:00 PM', '']","['Closed', '']"
Old Stove Brewing,"1901 Western Ave, Ste A, Seattle, WA 98101","['11:00 AM - 8:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Gold Bar,"227 9th Ave N, Seattle, WA 98109","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']"
Di Fiora,"1320 University St, Ste 1, Seattle, WA 98101","['12:00 PM - 4:00 PM, 5:00 PM - 9:30 PM', '']","['12:00 PM - 4:00 PM, 5:00 PM - 9:30 PM', '']","['12:00 PM - 4:00 PM, 5:00 PM - 9:30 PM', '']","['12:00 PM - 4:00 PM, 5:00 PM - 9:30 PM', '']","['12:00 PM - 4:00 PM, 5:00 PM - 10:00 PM', '']","['12:00 PM - 4:00 PM, 5:00 PM - 10:00 PM', '']","['12:00 PM - 4:00 PM, 5:00 PM - 9:30 PM', '']"
Japonessa Sushi Cocina,"1400 1st Ave, Seattle, WA 98101","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 11:00 PM', '']","['12:00 PM - 11:00 PM', '']","['12:00 PM - 10:00 PM', '']"
D' La Santa,"2359 10th Ave E, Seattle, WA 98102","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 9:00 PM', '']"
Tavolàta,"2323 2nd Ave, Seattle, WA 98121","['Closed', '']","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Cactus Restaurants,"350 Terry Ave N, Seattle, WA 98109","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 9:00 PM', '']"
Hannyatou,"1060 N 39th St, Seattle, WA 98103","['Closed', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['Closed', '']"
Palisade,"2601 W Marina Pl, Elliott Bay Marina, Seattle, WA 98199","['3:00 PM - 9:00 PM', '']","['3:00 PM - 9:00 PM', '']","['3:00 PM - 9:00 PM', '']","['3:00 PM - 9:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 10:00 PM', '']","['3:00 PM - 9:00 PM', '']"
Cask & Trotter,"711 Westlake Ave N, Seattle, WA 98109","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 1:00 AM (Next day)', '']","['10:00 AM - 1:00 AM (Next day)', '']","['10:00 AM - 10:00 PM', '']"
Japonessa Sushi Cocina,"1400 1st Ave, Seattle, WA 98101","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 11:00 PM', '']","['12:00 PM - 11:00 PM', '']","['12:00 PM - 10:00 PM', '']"
Stone Korean Restaurant,"900 Dexter Ave N, Seattle, WA 98109","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['Closed', '']"
19 GOLD,"3601 Fremont Ave N, Ste 101, Seattle, WA 98103","['11:30 AM - 9:30 PM', '']","['Closed', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']"
Karachi Cowboys,"1517 12th Ave, Ste 100, Seattle, WA 98122","['Closed', '']","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['Closed', '']"
Taurus Ox,"1523 E Madison St, Ste 101, Seattle, WA 98122","['Closed', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['Closed', '']"
Manolin,"3621 Stone Way N, Seattle, WA 98103","['Closed', '']","['Closed', '']","['5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM, 5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM, 5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM, 5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM', '']"
Paju,"11 Mercer St, Seattle, WA 98109","['Closed', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 9:00 PM', '']"
Joule,"3506 Stone Way N, Seattle, WA 98103","['Closed', '']","['Closed', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']"
Joule,"3506 Stone Way N, Seattle, WA 98103","['Closed', '']","['Closed', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']","['5:00 PM - 8:00 PM', '']"
Rondo,"224 Broadway E, Seattle, WA 98102","['11:30 AM - 9:00 PM', '']","['Closed', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']"
Piroshky Piroshky,"1908 Pike Pl, Seattle, WA 98101","['8:00 AM - 7:00 PM', '']","['8:00 AM - 7:00 PM', '']","['8:00 AM - 7:00 PM', '']","['8:00 AM - 7:00 PM', '']","['8:00 AM - 7:00 PM', '']","['8:00 AM - 7:00 PM', '']","['8:00 AM - 7:00 PM', '']"
Manolin,"3621 Stone Way N, Seattle, WA 98103","['Closed', '']","['Closed', '']","['5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM, 5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM, 5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM, 5:00 PM - 9:00 PM', '']","['8:00 AM - 1:00 PM', '']"
Meet the Moon,"120 Lakeside Ave, Seattle, WA 98122","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']"
Xi'an Noodles,"5259 University Way NE, Seattle, WA 98105","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Mamnoon,"1508 Melrose Ave, Seattle, WA 98122","['Closed', '']","['11:30 AM - 2:30 PM, 4:00 PM - 8:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 8:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 8:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 8:30 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 8:30 PM', '']","['Closed', '']"
Fat's Fried Chicken & Waffles,"2726 E Cherry St, Seattle, WA 98122","['Closed', '']","['Closed', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['10:00 AM - 3:00 PM, 5:00 PM - 8:00 PM', '']","['10:00 AM - 3:00 PM, 5:00 PM - 8:00 PM', '']"
Karaage Setsuna,"2429 2nd Ave, Seattle, WA 98121","['Closed', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['Closed', '']"
Kin Len Thai Night Bites,"3517 Fremont Ave N, Seattle, WA 98103","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']"
A + Hong Kong Kitchen,"419 6th Ave S, Seattle, WA 98104","['11:00 AM - 10:00 PM', '']","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Asadero Ballard,"5405 Leary Ave NW, Seattle, WA 98107","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Intermezzo Carmine,"409 1st Ave S, Seattle, WA 98104","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['Closed', '']"
